Age group	Sample	Experiment ID	Run ID
Fetal	R3452_DLPFC_polyA_RNAseq_total	SRX683795	SRR1554537
Fetal	R3452_DLPFC_polyA_RNAseq_total	SRX683795	SRR2071348
Fetal	R3462_DLPFC_polyA_RNAseq_total	SRX683796	SRR1554538
Fetal	R3462_DLPFC_polyA_RNAseq_total	SRX683796	SRR2071349
Fetal	R3485_DLPFC_polyA_RNAseq_total	SRX683799	SRR1554541
Fetal	R3485_DLPFC_polyA_RNAseq_total	SRX683799	SRR2071352
Fetal	R4706_DLPFC_polyA_RNAseq_total	SRX683824	SRR1554566
Fetal	R4706_DLPFC_polyA_RNAseq_total	SRX683824	SRR2071377
Fetal	R4707_DLPFC_polyA_RNAseq_total	SRX683825	SRR1554567
Fetal	R4707_DLPFC_polyA_RNAseq_total	SRX683825	SRR2071378
Fetal	R4708_DLPFC_polyA_RNAseq_total	SRX683826	SRR1554568
Fetal	R4708_DLPFC_polyA_RNAseq_total	SRX683826	SRR2071379
Adult	R2869_DLPFC_polyA_RNAseq_total	SRX683793	SRR1554535
Adult	R2869_DLPFC_polyA_RNAseq_total	SRX683793	SRR2071346
Adult	R3098_DLPFC_polyA_RNAseq_total	SRX683794	SRR1554536
Adult	R3098_DLPFC_polyA_RNAseq_total	SRX683794	SRR2071347
Adult	R3467_DLPFC_polyA_RNAseq_total	SRX683797	SRR1554539
Adult	R3467_DLPFC_polyA_RNAseq_total	SRX683797	SRR2071350
Adult	R3969_DLPFC_polyA_RNAseq_total	SRX683814	SRR1554556
Adult	R3969_DLPFC_polyA_RNAseq_total	SRX683814	SRR2071367
Adult	R4166_DLPFC_polyA_RNAseq_total	SRX683819	SRR1554561
Adult	R4166_DLPFC_polyA_RNAseq_total	SRX683819	SRR2071372
Adult	R2857 DLPFC polyA+ transcriptome	SRX683792	SRR1554534
Adult	R2857 DLPFC polyA+ transcriptome	SRX683792	SRR2071345
